block	shorEMA	longEMA	rFactor	fee
4860	1834701115179623733	1593430341305101901	1151399968004388917	3504644986477583
4880	1835921027605241991	1594933369755959844	1151079715284125202	3503586191017585
4900	1837131937028040268	1596430841730883648	1150758432710837817	3502521750016812
4920	1838333909890541873	1597922777771350616	1150436146606039452	3501451714567257
4940	1839527012144921619	1599409198342899219	1150112882936703189	3500376134978255
4960	1840711309256624617	1600890123835409829	1149788667319918421	3499295060795010
4980	1841886866207958353	1602365574563384419	1149463525027479907	3498208540816798
5000	1843053747501658268	1603835570766225228	1149137480990411054	3497116623114862
5020	1844212017164427018	1605300132608512384	1148810559803422491	3496019355049994
5040	1845361738750447619	1606759280180280524	1148482785729306959	3494916783289808
5060	1846502975344870651	1608213033497294369	1148154182703271568	3493808953825716
5080	1847635789567275750	1609661412501323287	1147824774337208413	3492695911989591
5100	1848760243575107528	1611104437060414850	1147494583923904534	3491577702470145
5120	1849876399067086153	1612542126969167370	1147163634441192197	3490454369329001
5140	1850984317286592757	1613974501949001430	1146831948556040457	3489325956016482
5160	1852084059025029852	1615401581648430409	1146499548628588918	3488192505387105
5180	1853175684625156948	1616823385643330009	1146166456716124630	3487054059714790
5200	1854259253984401565	1618239933437206797	1145832694577003003	3485910660707795
5220	1855334826558145796	1619651244461465725	1145498283674513648	3484762349523355
5240	1856402461362988620	1621057338075676691	1145163245180692005	3483609166782063
5260	1857462216979984132	1622458233567840101	1144827599980077593	3482451152581966
5280	1858514151557855901	1623853950154651454	1144491368673419764	3481288346512391
5300	1859558322816187566	1625244506981764934	1144154571581331750	3480120787667511
5320	1860594788048589919	1626629923124056049	1143817228747893827	3478948514659639
5340	1861623604125844595	1628010217585883291	1143479359944206382	3477771565632267
5360	1862644827499024570	1629385409301348823	1143140984671893682	3476589978272842
5380	1863658514202591633	1630755517134558199	1142802122166559114	3475403789825293
5400	1864664719857470988	1632120559879879149	1142462791401192606	3474213037102297
5420	1865663499674103166	1633480556262199377	1142123011089531033	3473017756497306
5440	1866654908455473429	1634835524937183419	1141782799689372302	3471817983996320
5460	1867639000600118797	1636185484491528556	1141442175405843827	3470613755189426
5480	1868615830105112900	1637530453443219765	1141101156194626124	3469405105282085
5500	1869585450569028791	1638870450241783752	1140759759765132180	3468192069106193
5520	1870547915194879895	1640205493268542031	1140418003583643299	3466974681130904
5540	1871503276793039252	1641535600836863057	1140075904876402108	3465752975473222
5560	1872451587784137230	1642860791192413445	1139733480632663336	3464526985908363
5580	1873392900201937825	1644181082513408257	1139390747607703037	3463296745879898
5600	1874327265696193767	1645496492910860358	1139047722325786890	3462062288509668
5620	1875254735535480526	1646807040428828853	1138704421083098203	3460823646607481
5640	1876175360610009425	1648112743044666601	1138360859950626206	3459580852680601
5660	1877089191434419977	1649413618669266823	1138017054777015270	3458333938943007
