rFactor	fee
228000000000000000	1503960951285050
229000000000000000	1503961842374200
230000000000000000	1503962737875119
231000000000000000	1503963637816975
232000000000000000	1503964542229174
233000000000000000	1503965451141367
234000000000000000	1503966364583454
235000000000000000	1503967282585580
236000000000000000	1503968205178142
237000000000000000	1503969132391791
238000000000000000	1503970064257436
239000000000000000	1503971000806241
240000000000000000	1503971942069636
241000000000000000	1503972888079310
242000000000000000	1503973838867222
243000000000000000	1503974794465601
244000000000000000	1503975754906945
245000000000000000	1503976720224029
246000000000000000	1503977690449906
247000000000000000	1503978665617908
248000000000000000	1503979645761651
249000000000000000	1503980630915038
250000000000000000	1503981621112260
251000000000000000	1503982616387801
252000000000000000	1503983616776439
253000000000000000	1503984622313253
254000000000000000	1503985633033619
255000000000000000	1503986648973221
256000000000000000	1503987670168048
257000000000000000	1503988696654402
258000000000000000	1503989728468897
259000000000000000	1503990765648465
260000000000000000	1503991808230359
261000000000000000	1503992856252154
262000000000000000	1503993909751755
263000000000000000	1503994968767395
264000000000000000	1503996033337642
265000000000000000	1503997103501403
266000000000000000	1503998179297923
267000000000000000	1503999260766795
268000000000000000	1504000347947959
269000000000000000	1504001440881707
270000000000000000	1504002539608687
271000000000000000	1504003644169906
272000000000000000	1504004754606736
273000000000000000	1504005870960915
274000000000000000	1504006993274551
275000000000000000	1504008121590130
276000000000000000	1504009255950516
277000000000000000	1504010396398954
278000000000000000	1504011542979081
279000000000000000	1504012695734922
280000000000000000	1504013854710897
281000000000000000	1504015019951830
282000000000000000	1504016191502947
283000000000000000	1504017369409881
284000000000000000	1504018553718682
285000000000000000	1504019744475814
286000000000000000	1504020941728166
287000000000000000	1504022145523053
288000000000000000	1504023355908221
289000000000000000	1504024572931852
290000000000000000	1504025796642571
291000000000000000	1504027027089446
292000000000000000	1504028264321999
293000000000000000	1504029508390204
294000000000000000	1504030759344500
295000000000000000	1504032017235790
296000000000000000	1504033282115446
297000000000000000	1504034554035320
298000000000000000	1504035833047744
299000000000000000	1504037119205536
300000000000000000	1504038412562009
301000000000000000	1504039713170971
302000000000000000	1504041021086737
303000000000000000	1504042336364128
304000000000000000	1504043659058483
305000000000000000	1504044989225658
306000000000000000	1504046326922040
307000000000000000	1504047672204546
308000000000000000	1504049025130633
309000000000000000	1504050385758301
310000000000000000	1504051754146103
311000000000000000	1504053130353149
312000000000000000	1504054514439112
313000000000000000	1504055906464237
314000000000000000	1504057306489342
315000000000000000	1504058714575833
316000000000000000	1504060130785702
317000000000000000	1504061555181542
318000000000000000	1504062987826546
319000000000000000	1504064428784520
320000000000000000	1504065878119888
321000000000000000	1504067335897698
322000000000000000	1504068802183631
323000000000000000	1504070277044009
324000000000000000	1504071760545799
325000000000000000	1504073252756624
326000000000000000	1504074753744770
327000000000000000	1504076263579194
328000000000000000	1504077782329529
329000000000000000	1504079310066096
330000000000000000	1504080846859912
331000000000000000	1504082392782692
332000000000000000	1504083947906868
333000000000000000	1504085512305586
334000000000000000	1504087086052724
335000000000000000	1504088669222896
336000000000000000	1504090261891461
337000000000000000	1504091864134532
338000000000000000	1504093476028987
339000000000000000	1504095097652477
340000000000000000	1504096729083435
341000000000000000	1504098370401085
342000000000000000	1504100021685453
343000000000000000	1504101683017377
344000000000000000	1504103354478514
345000000000000000	1504105036151354
346000000000000000	1504106728119227
347000000000000000	1504108430466315
348000000000000000	1504110143277662
349000000000000000	1504111866639183
350000000000000000	1504113600637679
351000000000000000	1504115345360843
352000000000000000	1504117100897275
353000000000000000	1504118867336491
354000000000000000	1504120644768933
355000000000000000	1504122433285986
356000000000000000	1504124232979984
357000000000000000	1504126043944225
358000000000000000	1504127866272981
359000000000000000	1504129700061514
360000000000000000	1504131545406082
361000000000000000	1504133402403959
362000000000000000	1504135271153444
363000000000000000	1504137151753872
364000000000000000	1504139044305633
365000000000000000	1504140948910178
366000000000000000	1504142865670039
367000000000000000	1504144794688840
368000000000000000	1504146736071311
369000000000000000	1504148689923302
370000000000000000	1504150656351799
371000000000000000	1504152635464936
372000000000000000	1504154627372013
373000000000000000	1504156632183508
374000000000000000	1504158650011094
375000000000000000	1504160680967654
376000000000000000	1504162725167299
377000000000000000	1504164782725379
378000000000000000	1504166853758505
379000000000000000	1504168938384561
