block	shorEMA	longEMA	rFactor	fee
5400	1000000000000000000	1000000000000000000	367811314297287873	1504146368808983
5420	1000000000000000000	1000000000000000000	366451569742879625	1504143735232323
5440	1000000000000000000	1000000000000000000	365096851964922709	1504141134018865
5460	1000000000000000000	1000000000000000000	363747142380160874	1504138564625010
5480	1000000000000000000	1000000000000000000	362402422474037437	1504136026518753
5500	1000000000000000000	1000000000000000000	361062673800441338	1504133519179385
5520	1000000000000000000	1000000000000000000	359727877981454074	1504131042097202
5540	1000000000000000000	1000000000000000000	358398016707097608	1504128594773225
5560	1000000000000000000	1000000000000000000	357073071735083230	1504126176718929
5580	1000000000000000000	1000000000000000000	355753024890561280	1504123787455974
5600	1000000000000000000	1000000000000000000	354437858065871873	1504121426515953
5620	1000000000000000000	1000000000000000000	353127553220296471	1504119093440139
5640	1000000000000000000	1000000000000000000	351822092379810446	1504116787779247
5660	1000000000000000000	1000000000000000000	350521457636836497	1504114509093197
5680	1000000000000000000	1000000000000000000	349225631149999020	1504112256950887
5700	1000000000000000000	1000000000000000000	347934595143879358	1504110030929969
5720	1000000000000000000	1000000000000000000	346648331908771973	1504107830616638
5740	1000000000000000000	1000000000000000000	345366823800441521	1504105655605421
5760	1000000000000000000	1000000000000000000	344090053239880801	1504103505498975
5780	1000000000000000000	1000000000000000000	342818002713069636	1504101379907890
5800	1000000000000000000	1000000000000000000	341550654770734610	1504099278450497
5820	1000000000000000000	1000000000000000000	340287992028109725	1504097200752680
5840	1000000000000000000	1000000000000000000	339029997164697902	1504095146447701
5860	1000000000000000000	1000000000000000000	337776652924033413	1504093115176018
5880	1000000000000000000	1000000000000000000	336527942113445151	1504091106585117
5900	1000000000000000000	1000000000000000000	335283847603820806	1504089120329348
5920	1000000000000000000	1000000000000000000	334044352329371870	1504087156069758
5940	1000000000000000000	1000000000000000000	332809439287399572	1504085213473938
5960	1000000000000000000	1000000000000000000	331579091538061612	1504083292215872
5980	1000000000000000000	1000000000000000000	330353292204139824	1504081391975783
6000	1000000000000000000	1000000000000000000	329132024470808632	1504079512439990
6020	1000000000000000000	1000000000000000000	327915271585404410	1504077653300772
6040	1000000000000000000	1000000000000000000	326703016857195677	1504075814256227
6060	1000000000000000000	1000000000000000000	325495243657154146	1504073995010137
